date,time,local_date,local_time,player_count,wayback_url
2006-01-11,00:23:28,2006-01-10,18:23:28,124295,https://web.archive.org/web/20060111002328/http://www.runescape.com/title.ws
2006-01-11,03:07:13,2006-01-10,21:07:13,85453,https://web.archive.org/web/20060111030713/http://www.runescape.com/title.ws
2006-01-11,07:28:37,2006-01-11,01:28:37,31625,https://web.archive.org/web/20060111072837/http://www.runescape.com/title.ws
2006-01-11,14:52:25,2006-01-11,08:52:25,65086,https://web.archive.org/web/20060111145225/http://www.runescape.com/title.ws
2006-01-11,15:23:14,2006-01-11,09:23:14,68119,https://web.archive.org/web/20060111152314/http://www.runescape.com/title.ws
2006-01-12,00:38:04,2006-01-11,18:38:04,124674,https://web.archive.org/web/20060112003804/http://www.runescape.com/title.ws
2006-01-12,02:55:44,2006-01-11,20:55:44,93303,https://web.archive.org/web/20060112025544/http://www.runescape.com/title.ws
2006-01-12,10:58:59,2006-01-12,04:58:59,28252,https://web.archive.org/web/20060112105859/http://www.runescape.com/title.ws
2006-01-13,04:00:40,2006-01-12,22:00:40,70462,https://web.archive.org/web/20060113040040/http://www.runescape.com/title.ws
2006-01-13,05:26:59,2006-01-12,23:26:59,48233,https://web.archive.org/web/20060113052659/http://www.runescape.com/title.ws
2006-01-14,08:27:51,2006-01-14,02:27:51,73711,https://web.archive.org/web/20060114082751/http://www.runescape.com/title.ws
2006-01-15,04:45:12,2006-01-14,22:45:12,105345,https://web.archive.org/web/20060115044512/http://www.runescape.com/title.ws
2006-01-15,06:37:21,2006-01-15,00:37:21,74994,https://web.archive.org/web/20060115063721/http://www.runescape.com/title.ws
2006-01-16,06:28:30,2006-01-16,00:28:30,72949,https://web.archive.org/web/20060116062830/http://www.runescape.com/title.ws
2006-01-17,01:51:56,2006-01-16,19:51:56,124014,https://web.archive.org/web/20060117015156/http://www.runescape.com/title.ws
2006-01-17,04:38:44,2006-01-16,22:38:44,58843,https://web.archive.org/web/20060117043844/http://www.runescape.com/title.ws
2006-01-18,01:56:26,2006-01-17,19:56:26,124840,https://web.archive.org/web/20060118015626/http://www.runescape.com/title.ws
2006-01-18,11:53:57,2006-01-18,05:53:57,45742,https://web.archive.org/web/20060118115357/http://www.runescape.com/title.ws
2006-01-18,14:35:46,2006-01-18,08:35:46,75216,https://web.archive.org/web/20060118143546/http://www.runescape.com/title.ws
2006-01-27,00:23:14,2006-01-26,18:23:14,135077,https://web.archive.org/web/20060127002314/http://www.runescape.com/title.ws
2006-02-02,00:56:24,2006-02-01,18:56:24,127661,https://web.archive.org/web/20060202005624/http://www.runescape.com/title.ws
2006-02-04,18:43:31,2006-02-04,12:43:31,182736,https://web.archive.org/web/20060204184331/http://www.runescape.com/title.ws
2006-02-05,03:44:17,2006-02-04,21:44:17,128806,https://web.archive.org/web/20060205034417/http://www.runescape.com/title.ws
2006-02-06,02:59:58,2006-02-05,20:59:58,93667,https://web.archive.org/web/20060206025958/http://www.runescape.com/title.ws
2006-02-06,18:37:19,2006-02-06,12:37:19,106148,https://web.archive.org/web/20060206183719/http://www.runescape.com/title.ws
2006-02-06,20:36:03,2006-02-06,14:36:03,109273,https://web.archive.org/web/20060206203603/http://www.runescape.com/title.ws
2006-02-07,01:54:08,2006-02-06,19:54:08,122504,https://web.archive.org/web/20060207015408/http://www.runescape.com/title.ws
2006-02-07,03:16:25,2006-02-06,21:16:25,82613,https://web.archive.org/web/20060207031625/http://www.runescape.com/title.ws
